"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","35481","D_02: Kiểm tra các menu trên header được hiển thị đầy đủ","webkit","2026-09-20","broken","2026-09-20","TopBar / Header Feature - Test Cases (D_01 to D_08 & D_35)","ui\dashboard\header.spec.ts","",""
"","3420","D_28: Kiểm tra responsive trên màn hình nhỏ","chromium","2026-09-20","passed","2026-09-20","Dashboard Feature > UI / Responsive & Loading","ui\dashboard\dashboard.spec.ts","",""
"","0","D_39: Xem danh sách phim ở trang thứ 2, chọn phim John Cena WWE và kiểm tra hình ảnh poster/trailer phim","firefox","2026-09-20","skipped","2026-09-20","Movie Search & Listing Feature","ui\dashboard\moviesearch.spec.ts","",""
"","0","D_35: Kiểm tra hình ảnh lỗi sau khi click Xem Thêm trong mục Review","chromium","2026-09-20","skipped","2026-09-20","MuiContainer - News Section Feature","ui\dashboard\tintuc.spec.ts","",""
"","3719","D_02: Kiểm tra các menu trên header được hiển thị đầy đủ","chromium","2026-09-20","passed","2026-09-20","TopBar / Header Feature - Test Cases (D_01 to D_08 & D_35)","ui\dashboard\header.spec.ts","",""
"","12019","D_31: Kiểm tra danh sách rạp được hiển thị","webkit","2026-09-20","passed","2026-09-20","Dashboard Feature > Cinema List","ui\dashboard\dashboard.spec.ts","",""
"","0","D_35: Xem danh sách phim ở trang thứ 2, chọn phim John Cena WWE và kiểm tra hình ảnh poster/trailer phim","chromium","2026-09-20","skipped","2026-09-20","Movie Search & Listing Feature","ui\dashboard\moviesearch.spec.ts","",""
"","13931","D_19: Click nút 'Mua vé ngay' khi chỉ chọn Phim + Rạp","firefox","2026-09-20","passed","2026-09-20","Dashboard Feature > Movie Search (Quick Booking Bar)","ui\dashboard\dashboard.spec.ts","",""
"","8929","D_01: Kiểm tra logo CyberSoft được hiển thị trên header","chromium","2026-09-20","passed","2026-09-20","TopBar / Header Feature - Test Cases (D_01 to D_08 & D_35)","ui\dashboard\header.spec.ts","",""
"","1","D_35: Xem danh sách phim ở trang thứ 2, chọn phim John Cena WWE và kiểm tra hình ảnh poster/trailer phim","firefox","2026-09-20","skipped","2026-09-20","Movie Search & Listing Feature","ui\dashboard\moviesearch.spec.ts","",""
"","17537","D_25: Hiển thị nút 'Play' và 'Mua vé' khi rê chuột","webkit","2026-09-20","passed","2026-09-20","Dashboard Feature > Movie Listing","ui\dashboard\dashboard.spec.ts","",""
"","0","D_36: Kiểm tra hình ảnh lỗi sau khi click Xem Thêm trong mục Điện ảnh 24h","firefox","2026-09-20","skipped","2026-09-20","MuiContainer - News Section Feature","ui\dashboard\tintuc.spec.ts","",""
"","8792","D_12: Kiểm tra dropdown Rạp hiển thị danh sách rạp khi chưa chọn Phim","chromium","2026-09-20","passed","2026-09-20","Dashboard Feature > Movie Search (Quick Booking Bar)","ui\dashboard\dashboard.spec.ts","",""
"","36937","D_28: Kiểm tra responsive trên màn hình nhỏ","firefox","2026-09-20","broken","2026-09-20","Dashboard Feature > UI / Responsive & Loading","ui\dashboard\dashboard.spec.ts","",""
"","1","D_36: Kiểm tra hình ảnh lỗi sau khi click Xem Thêm trong mục Khuyến Mãi","firefox","2026-09-20","skipped","2026-09-20","MuiContainer - News Section Feature","ui\dashboard\tintuc.spec.ts","",""
"","0","D_26: Kiểm tra click vào hình poster hoặc nút 'Mua vé' trên thẻ phim","firefox","2026-09-20","skipped","2026-09-20","Movie Search & Listing Feature","ui\dashboard\moviesearch.spec.ts","",""
"","0","D_06: Kiểm tra điều hướng đến trang Ứng Dụng","firefox","2026-09-20","skipped","2026-09-20","TopBar / Header Feature - Test Cases (D_01 to D_08 & D_35)","ui\dashboard\header.spec.ts","",""
"","15732","D_18: Click nút 'Mua vé ngay' khi chỉ chọn Phim","firefox","2026-09-20","passed","2026-09-20","Dashboard Feature > Movie Search (Quick Booking Bar)","ui\dashboard\dashboard.spec.ts","",""
"","40015","D_01: Kiểm tra logo CyberSoft được hiển thị trên header","webkit","2026-09-20","broken","2026-09-20","TopBar / Header Feature - Test Cases (D_01 to D_08 & D_35)","ui\dashboard\header.spec.ts","",""
"","9239","D_39: Kiểm tra thông tin userlog và userprofile trên Header có trùng khớp hay không","chromium","2026-09-20","passed","2026-09-20","TopBar / Header Feature - Test Cases (D_01 to D_08 & D_35)","ui\dashboard\header.spec.ts","",""
"","8885","D_28: Kiểm tra responsive trên màn hình nhỏ","webkit","2026-09-20","passed","2026-09-20","Dashboard Feature > UI / Responsive & Loading","ui\dashboard\dashboard.spec.ts","",""
"","0","D_35: Xem danh sách phim ở trang thứ 2, chọn phim John Cena WWE và kiểm tra hình ảnh poster/trailer phim","webkit","2026-09-20","skipped","2026-09-20","Movie Search & Listing Feature","ui\dashboard\moviesearch.spec.ts","",""
"","17266","D_27: Kiểm tra giao diện trên màn hình desktop","webkit","2026-09-20","passed","2026-09-20","Dashboard Feature > UI / Responsive & Loading","ui\dashboard\dashboard.spec.ts","",""
"","6291","D_20: Kiểm tra tìm kiếm suất chiếu với đầy đủ thông tin","chromium","2026-09-20","passed","2026-09-20","Dashboard Feature > Movie Search (Quick Booking Bar)","ui\dashboard\dashboard.spec.ts","",""
"","13808","D_37: Kiểm tra hình ảnh lỗi sau khi click Xem Thêm trong mục Review","chromium","2026-09-20","failed","2026-09-20","MuiContainer - News Section Feature","ui\dashboard\tintuc.spec.ts","",""
"","17042","D_41: Kiểm tra logo hiển thị tại màn hình chi tiết phim John Cena WWE","chromium","2026-09-20","failed","2026-09-20","Movie Search & Listing Feature","ui\dashboard\moviesearch.spec.ts","",""
